year,region,country,modularity,in-conductance,out-conductance
2007,America,Mexico,0.021871045024624627,0.4461022799602862,0.29070713798676767
2007,Europe,Russia,0.027480383146106173,0.44480258813689416,0.20539547629928734
2007,Asia and Pacific,Australia,0.026973178581242253,0.3420885124364244,0.22131528895674862
2007,Europe,Switzerland,0.013733531107272344,0.5814588933416226,0.3925716108359794
2007,Middle East,Turkey,0.018499988595861855,0.31846999704725754,0.20865478673973523
2007,Asia and Pacific,Taiwan,0.010260000049144041,0.8143237568298662,0.6905463815832741
2007,Europe,Norway,0.0088443004478394,0.5296277087330714,0.25874238877951466
2007,Asia and Pacific,Indonesia,0.012393337280563483,0.3940081249765692,0.23157863371093595
2007,Africa,South Africa,0.010887958289701634,0.2905353836469641,0.18509482170905592
2007,Asia and Pacific,RoW Asia and Pacific,0.03770687419148415,0.8559323892569922,0.7637860990649332
2007,America,RoW America,0.028404954068254565,0.5633244429528511,0.38346847250114335
2007,Europe,RoW Europe,0.011749200185575391,0.4503596022860816,0.3383848181347975
2007,Africa,RoW Africa,0.019106534822786993,0.5813317112688471,0.3495110107182519
2007,Middle East,RoW Middle East,0.026709244789926152,0.7650772763832758,0.5526048821529805
2008,Europe,Austria,0.0094194727304308,0.604547428546836,0.4318800358500435
2008,Europe,Belgium,0.013125217484241898,0.7240759502644375,0.5678267343594946
2008,Europe,Bulgaria,0.0025025882987647005,0.4970884694374027,0.36832918698999395
2008,Middle East,Cyprus,0.0006945491205443157,0.45818276093913485,0.3387477020010661
2008,Europe,Czech Republic,0.011405503413445883,0.41958532659973263,0.2848789817953493
2008,Europe,Germany,0.08065396988411076,0.48447209344638587,0.28451677394816355
2008,Europe,Denmark,0.009130072476845372,0.5354164410948313,0.36739297508758145
2008,Europe,Estonia,0.0010919391020743415,0.4600021083384613,0.3195016090393719
2008,Europe,Spain,0.04170436618196975,0.3579111785662705,0.24323719058892118
2008,Europe,Finland,0.008928232238983421,0.458442506372088,0.2866886719381047
2008,Europe,France,0.060310301942412076,0.4455688296145296,0.3050244190582275
2008,Europe,Greece,0.005967454360466874,0.5276459811002898,0.40863069763692306
2008,Europe,Croatia,0.0022309467146517,0.39560016643396584,0.27501595211877683
2008,Europe,Hungary,0.005168419378315097,0.6856550788421302,0.5337708087371189
2008,Europe,Ireland,0.005916981808944217,0.8715287645312534,0.7650804447287095
2008,Europe,Italy,0.059085148449925184,0.37915178115900017,0.25592778103918173
2008,Europe,Lithuania,0.0016457030822650373,0.4747650971537927,0.3191465045275825
2008,Europe,Luxembourg,0.003649757895105206,0.48474838107388846,0.2833415630087776
2008,Europe,Latvia,0.001539025404529242,0.35336444730031386,0.25705151640687574
2008,Europe,Malta,0.00035894215982328146,0.6782047152589353,0.4932177549246499
2008,Europe,Netherlands,0.019403927283881378,0.6521503203976324,0.4733621324569149
2008,Europe,Poland,0.0153400665612601,0.4649472415995714,0.3304914723020163
2008,Europe,Portugal,0.006979780042124789,0.4404097642418077,0.3184151827741583
2008,Europe,Romania,0.0052246744015523195,0.46444034672166407,0.356930116662457
2008,Europe,Sweden,0.008319025469379352,0.7252599278379953,0.536639811683722
2008,Europe,Slovenia,0.0023974880759802843,0.457065136214483,0.29384582427265604
2008,Europe,Slovakia,0.0041386764117475675,0.5529617841100588,0.3800082875208049
2008,Europe,United Kingdom,0.06050637162384033,0.4206976707723113,0.2690782630522925
