,year,country,sector,oil,length_ratio,length
6,2017,Gaseous fuels distribution,Other countries,,,
7,2017,Chemicals,Other countries,,,
8,2017,Petroleum elec. prod.,Other countries,,,
9,2017,Petroleum Refinery,Other countries,,,
0,2018,Copper,Other countries,,,
1,2018,Natural Gas,Other countries,,,
2,2018,Copper reproc.,Other countries,,,
3,2018,Non-ferrous metals reproc.,Other countries,,,
4,2018,Crude Petroleum,Other countries,,,
5,2018,Uranium and thorium,Other countries,,,
6,2018,"Tide, wave and ocean elec. prod.",Other countries,,,
7,2018,Precious metals reproc.,Other countries,,,
8,2018,Solar thermal elec. prod.,Other countries,,,
9,2018,Construction materials reproc.,Other countries,,,
0,2018,Ceramic goods,Other countries,,,
1,2018,Processing Nuclear Fuel,Other countries,,,
2,2018,"Lead, zinc and tin prod.",Other countries,,,
3,2018,Aluminium prod.,Other countries,,,
4,2018,Coke oven products,Other countries,,,
5,2018,Fertilizers,Other countries,,,
6,2018,Gaseous fuels distribution,Other countries,,,
7,2018,Chemicals,Other countries,,,
8,2018,Petroleum elec. prod.,Other countries,,,
9,2018,Petroleum Refinery,Other countries,,,
0,2019,Other petroleum,Other countries,,,
1,2019,Copper reproc.,Other countries,,,
2,2019,Copper,Other countries,,,
3,2019,Natural Gas,Other countries,,,
4,2019,Non-ferrous metals reproc.,Other countries,,,
5,2019,Crude Petroleum,Other countries,,,
6,2019,"Tide, wave and ocean elec. prod.",Other countries,,,
7,2019,Precious metals reproc.,Other countries,,,
8,2019,Uranium and thorium,Other countries,,,
9,2019,Solar thermal elec. prod.,Other countries,,,
0,2019,Ceramic goods,Other countries,,,
1,2019,"Iron, steel and ferro-alloys",Other countries,,,
2,2019,Aluminium prod.,Other countries,,,
3,2019,"Lead, zinc and tin prod.",Other countries,,,
4,2019,Gas elec. prod.,Other countries,,,
5,2019,Fertilizers,Other countries,,,
6,2019,Gaseous fuels distribution,Other countries,,,
7,2019,Chemicals,Other countries,,,
8,2019,Petroleum elec. prod.,Other countries,,,
9,2019,Petroleum Refinery,Other countries,,,
0,2020,Copper,Other countries,,,
1,2020,Natural Gas,Other countries,,,
2,2020,Copper reproc.,Other countries,,,
3,2020,Other petroleum,Other countries,,,
4,2020,Non-ferrous metals reproc.,Other countries,,,
5,2020,Uranium and thorium,Other countries,,,
6,2020,Crude Petroleum,Other countries,,,
7,2020,"Tide, wave and ocean elec. prod.",Other countries,,,
