,year,country,sector,coal,length_ratio,length
32,2013,Bulgaria,Recycling,-7.8680544453902055,0.5421291772957798,-0.16057253970184093
33,2013,Italy,Recycling,-3.7612538036137177,0.2591600559333193,-0.0767602817064024
34,2013,Other countries,Recycling,-2.8839383625088892,0.19871076677090083,-0.058855884949161004
35,2013,Bulgaria,Steel reproc.,-85.56671391654913,0.9273947603930074,-1.7462594676846763
36,2013,Other countries,Steel reproc.,-6.698972251753176,0.07260523960699264,-0.1367137194235342
0,2013,Greece,Precious metals,39.88796121179935,1.0,0.7365822917449454
1,2013,Other countries,Precious metals,-3.795428916297027,-0.086884944258387,-0.06399791135997453
2,2013,Brazil,Precious metals prod.,1.9401398122545155,0.6185428408901933,-0.22237894819182238
3,2013,Russia,Precious metals prod.,1.1964898340644181,0.3814571591098067,-0.13714174058016224
4,2013,Other countries,Precious metals prod.,-20.75314339614618,-0.8687040835112398,0.3123170904429966
5,2013,Italy,Petroleum elec. prod.,38.40992286412832,0.8076856095737428,0.6995297896039768
6,2013,Hungary,Petroleum elec. prod.,9.145614103280586,0.19231439042625725,0.16656189422973006
7,2013,Other countries,Petroleum elec. prod.,-5.11704445955727,-0.09714816173671637,-0.08413921497990197
8,2013,Japan,Non-ferrous metals,16.555090677418093,0.716837620322213,0.2712315425694347
9,2013,RoW America,Non-ferrous metals,6.539526859502898,0.2831623796777869,0.10714081803228453
10,2013,Other countries,Non-ferrous metals,-4.554371867436746,-0.16472109706544769,-0.06232591033755838
11,2013,Canada,Copper prod.,10.10882924499581,1.0,0.09872963810562899
12,2013,Other countries,Copper prod.,-5.27107697781999,-0.34272491011684114,-0.03383710634561995
13,2013,Spain,Chemicals,2.7926286385596253,0.3076731529757437,0.012050283644008878
14,2013,Russia,Chemicals,2.546234982253837,0.280527147215406,0.010987086982063668
15,2013,RoW America,Chemicals,2.392287107736335,0.2635661996362305,0.010322796883225101
16,2013,Hungary,Chemicals,1.345457391300653,0.14823350017261966,0.005805692519311655
17,2013,Other countries,Chemicals,-7.1574809784485955,-0.44089205961044853,-0.017267916694428096
18,2013,RoW America,Electricity distribution,8.61171627955948,0.46955914643062585,0.04174993155256379
19,2013,Cyprus,Electricity distribution,6.660833586141757,0.36318606322979774,0.03229197726410253
20,2013,Greece,Electricity distribution,3.067453401239284,0.16725479033957646,0.014871132000295084
21,2013,Other countries,Electricity distribution,-13.983264266909412,-0.4326067670066369,-0.03846438313255482
22,2013,Norway,Coal elec. prod.,42.055084179122844,0.3056996417749255,-0.6008032726559404
23,2013,Russia,Coal elec. prod.,29.535310674186643,0.2146930405454323,-0.421944496327278
24,2013,Germany,Coal elec. prod.,14.914635847682135,0.10841492592002196,-0.21307202690625857
25,2013,South Africa,Coal elec. prod.,14.342033462118932,0.10425266236585613,-0.20489177013369572
26,2013,Cyprus,Coal elec. prod.,13.500207030560542,0.09813340131603955,-0.19286535085619894
27,2013,Mexico,Coal elec. prod.,11.921937010929717,0.08666091020009595,-0.1703180224787259
28,2013,RoW Asia and Pacific,Coal elec. prod.,11.300740961667216,0.08214541787762863,-0.16144355161170226
29,2013,Other countries,Coal elec. prod.,-233.87153522378821,-0.6296322437108188,1.23744048372055
