,year,country,sector,coal,length_ratio,length
1,2005,Bulgaria,Other non-metallic products,-39.111667978360565,0.20020611194345125,-0.5432176108105634
2,2005,Bulgaria,Precious metals prod.,-20.67722395080234,0.10584326434926102,-0.2871836659833658
3,2005,Bulgaria,Construction products,-19.02927066535503,0.0974076660483554,-0.2642954259077087
4,2005,Bulgaria,"Iron, steel and ferro-alloys",-16.499421207782625,0.08445778817602717,-0.22915862788586977
5,2005,Bulgaria,Gas elec. prod.,-12.315413904962224,0.06304055189492212,-0.17104741534669754
6,2005,Bulgaria,Other sectors,-40.32615612445886,0.20642287441613016,-0.5600855017285953
7,2005,Romania,Coke oven products,-72.74456648807512,0.78106958897311,-1.0103412012232658
8,2005,Romania,Wind elec. prod.,-15.082569958131662,0.16194387136511748,-0.2094801383073842
9,2005,Romania,Other sectors,-5.307415858811353,0.05698653966177263,-0.07371410915015769
10,2005,Ireland,Precious metals prod.,-43.488216829206515,0.6056000254196554,-0.6040030115167572
11,2005,Ireland,Other sectors,-28.321913626238903,0.3943999745803446,-0.3933599114755403
12,2005,Japan,Coal elec. prod.,-45.777447331024554,0.6808467819986229,-0.6357978795975632
13,2005,Japan,Construction products,-15.687727553169072,0.2333231633518269,-0.217885104905126
14,2005,Japan,Other sectors,-5.77087372669213,0.08583005464955008,-0.08015102398183516
15,2005,RoW Middle East,Processing Nuclear Fuel,-45.11467613476341,0.5173075930527893,-0.48280041963286635
16,2005,RoW Middle East,Copper,-21.22991106965737,0.2434328501741513,-0.22719458170510845
17,2005,RoW Middle East,Natural Gas,-12.33821735359717,0.14147621281123,-0.1320389954267698
18,2005,RoW Middle East,Crude Petroleum,-8.527738532076668,0.09778334396182943,-0.0912606737884448
19,2005,RoW Middle East,Other sectors,20.013326810264985,-0.18664992066470698,0.17419937621554663
20,2005,Poland,Coke oven products,-52.541630655698036,0.9314596984286527,-0.7297448702180283
21,2005,Poland,Other sectors,-3.8662104396648047,0.06854030157134727,-0.05369736721756674
22,2005,Finland,Gas elec. prod.,-27.073850284696135,0.5381753133145402,-0.3760256983985575
23,2005,Finland,Biomass and waste elec. prod.,-9.014654049707914,0.1791937318337799,-0.1252035284681655
24,2005,Finland,Gaseous fuels distribution,-5.139345471448321,0.10216015935095157,-0.07137979821456
25,2005,Finland,Other sectors,-9.078898970772848,0.18047079550072836,-0.12609581903851177
26,2005,USA,Coal elec. prod.,-13.987533899186431,0.3012873548504012,-0.19427130415536714
27,2005,USA,Coke oven products,-7.409126648715045,0.15959040284240605,-0.10290453678770896
28,2005,USA,Construction products,-2.9639080145915875,0.06384170449003475,-0.04116538909154983
29,2005,USA,Other sectors,-22.06532244820564,0.475280537817158,-0.30646281178063395
30,2005,RoW America,Glass prod.,-28.436690420892855,0.6141562853152552,-0.3949540336235119
31,2005,RoW America,"Lead, zinc and tin prod.",-7.921590774025389,0.17108512599583575,-0.11002209408368595
32,2005,RoW America,Other sources elec. prod.,-7.753570836931377,0.16745634575111554,-0.10768848384626914
33,2005,RoW America,Other sectors,-2.190190462587921,0.04730224293779346,-0.030419311980387793
34,2005,Spain,Coal elec. prod.,-10.690584354217705,0.2918138403588836,-0.1484803382530237
35,2005,Spain,Copper prod.,-9.214838939828041,0.2515313896998454,-0.12798387416427837
36,2005,Spain,Coke oven products,-7.1355559213191135,0.19477457054760533,-0.09910494335165437
37,2005,Spain,Recycling,-4.880438246246355,0.13321810857884944,-0.06778386453119938
38,2005,Spain,Other sectors,-4.713528780383427,0.1286620908148163,-0.06546567750532539
0,2005,Austria,Coke oven products,13.108689103142773,0.5520108947574327,0.1820651264325385
1,2005,Austria,Other sectors,10.638467388946133,0.44798910524256735,0.14775649151314071
2,2005,France,Coal elec. prod.,11.543165354428318,0.4762919837348499,0.16032174103372665
3,2005,France,Coke oven products,2.397225842940376,0.09891389555088519,0.033294803374171886
4,2005,France,Gaseous fuels distribution,2.3042572802536077,0.09507784367192018,0.03200357333685566
5,2005,France,Other sectors,7.990832589920416,0.32971627704234474,0.11098378597111688
6,2005,India,Construction products,9.377750988755041,0.3109932431608417,0.13024654151048667
7,2005,India,Processing Nuclear Fuel,5.842060254379056,0.1937395509252685,0.08113972575526465
8,2005,India,Other non-metallic products,2.4258645029064274,0.08044865662697537,0.03369256254036705
9,2005,India,Precious metals,2.311839855775011,0.07666727078572287,0.032108886885764035
10,2005,India,"Iron, steel and ferro-alloys",2.2156940970451844,0.07347880039880358,0.030773529125627558
11,2005,India,Aluminium,2.193791465014638,0.07275244601201021,0.030469325902981084
12,2005,India,Other sectors,5.787194128094342,0.19192003209037772,0.08037769622353252
13,2005,Mexico,Coal elec. prod.,9.86246263654127,0.3133384933443416,0.13697864772973986
14,2005,Mexico,Coke oven products,9.269239318645317,0.2944913040067061,0.12873943498118495
15,2005,Mexico,Other sectors,12.343724288415636,0.39217020264895236,0.17144061511688385
16,2005,Switzerland,Gas elec. prod.,29.554588969314644,0.6106466059977543,0.27157602789049023
17,2005,Switzerland,Petroleum elec. prod.,11.124415835475256,0.22984879880053924,0.10222184677774247
18,2005,Switzerland,Coal elec. prod.,7.719837797511131,0.15950459520170646,0.07093730476792216
19,2005,Switzerland,Other sectors,-16.37790968289788,-0.2528362275834587,-0.11244516504228999
20,2005,RoW Europe,Coke oven products,17.447346426571684,0.4768755295875998,0.2423242559246067
21,2005,RoW Europe,Gas elec. prod.,8.592569937180606,0.23485441505712373,0.11934124912750842
22,2005,RoW Europe,Coal elec. prod.,3.9787764762846853,0.10874898066730079,0.05526078439284285
23,2005,RoW Europe,Petroleum elec. prod.,3.160903239301871,0.08639465104685422,0.04390143387919265
24,2005,RoW Europe,Other sectors,3.407197211690537,0.0931264236411213,0.04732218349570191
25,2005,Cyprus,Coke oven products,33.541720734635845,0.6656181581293981,0.34649973314845794
26,2005,Cyprus,Construction products,16.850114771923813,0.3343818418706019,0.1740685970819463
27,2005,Cyprus,Other sectors,-12.910915729970554,-0.20395504899509065,-0.10617253929743463
28,2005,Russia,Coal elec. prod.,31.257567015734654,0.30269734284374217,0.4341328752185369
29,2005,Russia,Coke oven products,8.935627199976295,0.08653234619039722,0.12410593333300411
30,2005,Russia,Aluminium prod.,6.514470177544096,0.06308593409668653,0.09047875246589022
31,2005,Russia,Construction products,6.051193230810714,0.05859957401925743,0.08404435042792659
32,2005,Russia,Other sectors,50.50457614803173,0.48908480284991673,0.7014524465004407
33,2005,Croatia,Gaseous fuels distribution,97.78551203692992,0.455485431322407,1.3581321116240266
34,2005,Croatia,Coke oven products,71.81000501436655,0.33449138247473936,0.997361180755091
35,2005,Croatia,Other sectors,45.088653533545454,0.21002318620285365,0.6262312990770201
36,2005,Czechia,"Lead, zinc and tin",58.191527117365155,0.2570877999665128,0.8082156544078494
37,2005,Czechia,Iron,38.479047133705336,0.16999886516915277,0.5344312101903519
38,2005,Czechia,Non-ferrous metals,34.16751677116936,0.15095069939138234,0.4745488440440189
